station_name,complex_id,ridership_2012,ridership_2013,ridership_2014,ridership_2015,ridership_2016,ridership_2017
155 St,220,1257551,1281168,1299098,1306282,1308981,1212240
21 St-Queensbridge,221,2654261,2631860,2683624,2884831,3009540,3157675
Roosevelt Island,222,2026567,1948925,1870476,1966493,2110471,2361627
Lexington Av-63 St,223,4566850,4462467,4479963,4718159,5033950,6389408
57 St,224,4408190,4520733,4603639,4720245,4821309,4557372
47-50 Sts-Rockefeller Center,225,17091251,17759382,18236646,18469446,18086203,17471620
23 St,228,8078511,8446249,8678810,8942154,8989195,8636801
Grand St,231,7658249,7994060,8131543,8010864,7942505,7653408
2 Av,232,5706955,5999079,5772265,5847710,5772537,5372036
East Broadway,234,4021679,4208654,4379909,4576662,4752739,4458909
York St,235,2344141,2666502,2760385,2900416,3286640,3172717
Bergen St,236,3529174,3650848,3711317,3708300,3599389,3525144
Carroll St,237,3961111,3782675,3616947,3672702,3563150,3537661
Smith-9 Sts,238,0,926087,1539209,1636221,1533167,1484326
7 Av,240,3699471,3904986,3886594,3780126,3700321,3623053
15 St-Prospect Park,241,1852346,2005424,2017347,2011237,1958444,1917454
Fort Hamilton Pkwy,242,1538039,1688093,1729381,1792239,1845401,1786458
Church Av,243,3081142,3193844,3201585,3353795,3315387,3148411
Ditmas Av,244,1404811,1455737,1437835,1033946,1055185,1137998
18 Av,245,1294568,1313344,1277024,1392552,1344286,1281041
Avenue I,246,684241,699582,696140,672710,585217,326469
Bay Pkwy,247,464906,487308,478322,460536,406793,214153
Avenue N,248,1012534,1044429,1050916,1027713,941921,643200
Avenue P,249,825620,861095,864424,858733,809816,534727
Kings Hwy,250,1117098,1134042,1137784,1202640,1398753,1531332
Avenue U,251,707595,717486,699414,716715,772331,373322
Avenue X,252,860597,908520,892170,589962,727220,738274
Neptune Av,253,505076,523554,512828,531011,513566,478754
Jamaica-179 St,254,6767423,6868439,6818494,6898938,6783119,6463698
169 St,255,2759602,2834112,2854274,2858542,2787763,2629975
Parsons Blvd,256,1950852,2035948,2052252,2094007,2063042,1998650
Sutphin Blvd,257,1468970,1550363,1468419,1506607,1414334,1338831
