station_name,complex_id,ridership_2012,ridership_2013,ridership_2014,ridership_2015,ridership_2016,ridership_2017
50 St,61,941157,1021409,1009971,968612,1012356,986060
55 St,62,546080,601931,603320,595157,665488,632198
71 St,64,1191257,1446020,1481633,1487929,2029479,1854361
79 St,65,1651785,1949861,2041896,2043471,2137349,2032937
18 Av,66,1661770,1954729,1996205,1925239,2003777,1948610
20 Av,67,1377648,1547029,1564060,1592525,1656437,1579804
Bay Pkwy,68,2038864,2298420,2362284,2368617,2578524,2502105
25 Av,69,1206526,1421090,1488192,1508412,1992945,1789365
Bay 50 St,70,777836,847843,884302,872953,972937,900508
8 Av,71,3559576,3677764,3851372,3796909,4586559,4088721
Fort Hamilton Pkwy,72,2105486,2200487,2278120,2164028,554051,988664
18 Av,74,1819255,1641928,1775695,1784992,723187,992834
20 Av,75,1245145,1286961,1305487,1279525,409416,664120
Bay Pkwy,76,2221968,2243082,2342792,2298369,3435240,2950253
Kings Hwy,77,1616827,1630749,1687226,1710115,475763,910558
Avenue U,78,1297870,1211062,1251276,1253349,456533,734714
86 St,79,811332,801109,837472,859293,419039,494456
121 St,80,664855,688985,766469,788674,794687,337075
111 St,81,764882,780300,802275,812055,805255,948885
104 St,82,755193,779537,827890,841545,850903,502541
Woodhaven Blvd,83,1328319,1398536,1505920,1551590,1513298,1512676
85 St-Forest Pkwy,84,1125639,1157863,1212661,1239793,1237770,1156600
75 St-Elderts Ln,85,1107947,1138544,1172162,1196186,1187714,1069608
Cypress Hills,86,411495,432557,450480,452936,462143,435855
Crescent St,87,1504645,1509290,1583134,1626727,1617730,1570485
Norwood Av,88,1097011,1095573,1145643,1159274,1146658,1065073
Cleveland St,89,1029708,1050261,1107397,1120403,1104683,1011734
Van Siclen Av,90,893665,913115,943663,966461,983370,910042
Alabama Av,91,772447,770075,784998,814578,834945,755935
Chauncey St,93,964735,938803,959091,1045698,1092483,1095638
Halsey St,94,1800505,1845755,1968526,2083683,2101350,2131177
Gates Av,95,1901060,1895878,1984486,2100864,2117787,2262915
Kosciuszko St,96,1482044,1515244,1521002,1593719,1661644,1979192
Myrtle Av,97,3257338,3562631,3523740,3687468,3764562,4213096
