from_station_id,to_station_id,dist_km
1,2,0.722413646206457
2,1,0.722413646206455
2,3,0.494720230570068
3,2,0.494720230570067
3,4,0.64765740160068
4,3,0.647657401600675
4,5,0.654748550096377
5,4,0.654748550096375
5,6,0.511956891989067
6,5,0.511956891989065
6,461,0.868863084833305
7,8,0.576463642681547
7,273,3.19649707490361
7,461,2.64939304043646
8,7,0.576463642681546
8,9,0.791090983823055
9,8,0.791090983823054
9,10,0.605542100934641
9,11,1.23154557947738
9,223,1.63724674058688
10,9,0.605542100934641
10,11,0.626003478542739
11,9,1.23154557947738
11,10,0.626003478542739
11,12,0.577373589349598
12,11,0.577373589349598
12,13,0.457322004785492
12,15,1.55491357089281
13,12,0.457322004785492
13,14,0.469563876112367
14,13,0.469563876112367
14,15,0.628027689994947
15,12,1.55491357089281
15,14,0.628027689994944
15,16,0.636043967991368
15,19,2.2242496291577
16,15,0.636043967991366
16,17,0.792528744059155
17,16,0.792528744059155
17,18,0.634965801171104
17,19,0.795676917107171
18,17,0.634965801171104
18,20,0.821952934726145
19,15,2.2242496291577
19,17,0.795676917107173
19,26,3.53490432708032
19,27,4.46121635928748
20,18,0.821952934726145
20,21,0.520740984914882
21,20,0.520740984914882
21,22,0.430298506760721
22,21,0.430298506760721
22,23,0.493601527164287
23,22,0.493601527164289
23,24,2.13515669958062
24,23,2.13515669958061
24,25,0.577094588369459
25,24,0.577094588369462
25,26,0.442813163821221
26,19,3.53490432708032
26,25,0.442813163821221
26,27,0.926312032207164
26,40,0.871479097264608
26,231,3.30547811558143
27,19,4.46121635928748
27,26,0.926312032207166
27,28,0.79399855642837
27,32,3.80859836444914
27,231,4.2317901477886
28,27,0.793998556428372
28,29,0.842865185888343
29,28,0.842865185888344
29,30,0.716902840366199
30,29,0.716902840366199
30,31,0.710855434558969
31,30,0.710855434558969
31,32,0.743976347207255
32,27,3.80859836444914
32,31,0.743976347207257
32,33,0.879350649035771
32,59,1.48742765729855
33,32,0.879350649035771
33,34,0.548502014954507
34,33,0.548502014954506
34,35,0.524818270507666
35,34,0.524818270507666
35,36,0.858980564829469
35,71,1.30717206883324
36,35,0.858980564829471
36,37,0.608427689303708
37,36,0.608427689303708
37,38,0.821728173683859
38,37,0.821728173683862
38,39,0.706305839683823
39,38,0.706305839683824
40,26,0.871479097264608
40,41,0.91666014453974
41,40,0.916660144539739
41,42,1.92760347190796
